lan_interface_id,lan_interface_name,lan_interface_dest_type,lag_min_links,is_native_range,lan_interface_index,network_range_id,network_range_name,subnet,vlan,mdns_reflector,gateway,range_type,translated_subnet,internet_only,local_ip,dhcp_type,dhcp_ip_range,dhcp_relay_group_id,dhcp_relay_group_name,dhcp_microsegmentation
,,,,,LAN1,,Example Routed 152,10.15.2.0/24,,,10.15.0.2,Routed,172.15.1.0/24,,,ACCOUNT_DEFAULT,,,,FALSE
,,,,,LAN1,,Example Routed 153,10.15.3.0/24,,,10.15.0.3,Routed,,TRUE,,ACCOUNT_DEFAULT,,,,FALSE
,,,,,LAN1,,Example Direct 154,10.15.4.0/24,,TRUE,,Direct,172.15.3.0/24,,10.15.4.1,DHCP_RANGE,10.15.4.100-10.15.4.200,,,FALSE
,,,,,LAN1,,Example VLAN 155,10.15.5.0/24,155,,,VLAN,,,10.15.5.1,DHCP_DISABLED,,,,FALSE
,,,,,LAN1,,Example VLAN 156,10.15.6.0/24,156,,,VLAN,172.15.5.0/24,,10.15.6.1,ACCOUNT_DEFAULT,,,,FALSE
,,,,,LAN1,,Example VLAN 157,10.15.7.0/24,157,,,VLAN,172.15.6.0/24,,10.15.7.1,DHCP_RELAY,,,dhcp_relay1,FALSE
,,,,,LAN1,,Example VLAN 158,10.15.8.0/24,158,,,VLAN,,,10.15.8.1,DHCP_RELAY,,,dhcp_relay1,FALSE
,,,,,LAN1,,Example VLAN 159,10.15.9.0/24,159,,,VLAN,172.15.8.0/24,,10.15.9.1,DHCP_RANGE,10.15.9.100-10.15.9.200,,,TRUE
 ,LAN 2,LAN,,TRUE,LAN2,,Native Range,10.15.10.0/24,1510,FALSE,,VLAN,,,10.15.10.1,DHCP_DISABLED,,,,FALSE
,,,,,LAN2,,Example Routed 1511,10.15.11.0/24,,,10.15.10.2,Routed,172.15.11.0/24,,,ACCOUNT_DEFAULT,,,,FALSE
,,,,,LAN2,,Example Routed 1512,10.15.12.0/24,,,10.15.10.3,Routed,,TRUE,,ACCOUNT_DEFAULT,,,,FALSE
,,,,,LAN2,,Example Direct 1513,10.15.13.0/24,,TRUE,,Direct,172.15.13.0/24,,10.15.13.1,DHCP_RANGE,10.15.13.100-10.15.13.200,,,FALSE
,,,,,LAN2,,Example VLAN 1514,10.15.14.0/24,1514,,,VLAN,,,10.15.14.1,DHCP_DISABLED,,,,FALSE
,,,,,LAN2,,Example VLAN 1515,10.15.15.0/24,1515,,,VLAN,172.15.15.0/24,,10.15.15.1,ACCOUNT_DEFAULT,,,,FALSE
,,,,,LAN2,,Example VLAN 1516,10.15.16.0/24,1516,,,VLAN,172.15.16.0/24,,10.15.16.1,DHCP_RELAY,,,dhcp_relay1,FALSE
,,,,,LAN2,,Example VLAN 1517,10.15.17.0/24,1517,,,VLAN,,,10.15.17.1,DHCP_RELAY,,,dhcp_relay1,FALSE
,,,,,LAN2,,Example VLAN 1518,10.15.18.0/24,1518,,,VLAN,172.15.18.0/24,,10.15.18.1,DHCP_RANGE,10.15.18.100-10.15.18.200,,,TRUE
